I0,PA500,HFS,DA,Area,A/DA,Max IP,DR,P,Class,Max IP,I0,DA,PA500
524.794072,0.187448362,0.032114058,228.8002279,6843.598481,29.91080273,60.20487976,220.737212,556.8283342,car,60.20487976,524.794072,228.8002279,0.187448362
330,0.226892803,0.265290046,121.1542007,3163.239472,26.10920178,69.71736145,99.084964,400.225776,car,69.71736145,330,121.1542007,0.226892803
551.8792874,0.232477856,0.063529985,264.8049354,11888.39183,44.89490276,77.79329681,253.7852998,656.7694494,car,77.79329681,551.8792874,264.8049354,0.232477856
380,0.240855437,0.286233997,137.6401109,5402.17118,39.2485239,88.75844574,105.198568,493.7018135,car,88.75844574,380,137.6401109,0.240855437
362.8312659,0.200712864,0.244346095,124.9125594,3290.462446,26.34212655,69.38938904,103.8665519,424.7965034,car,69.38938904,362.8312659,124.9125594,0.200712864
389.8729777,0.150098316,0.097738438,118.6258143,2475.557078,20.86862032,49.75714874,107.6861642,429.3857879,car,49.75714874,389.8729777,118.6258143,0.150098316
290.4551412,0.144164196,0.053058009,74.63506664,1189.545213,15.93815436,35.70333099,65.54132446,330.2672929,car,35.70333099,290.4551412,74.63506664,0.144164196
275.6773934,0.15393804,0.187797428,91.52789334,1756.234837,19.187974,39.30518341,82.65868215,331.5883017,car,39.30518341,275.6773934,91.52789334,0.15393804
470,0.213104702,0.225496539,184.5900566,8185.360837,44.34345484,84.48248291,164.1225107,603.3157151,car,84.48248291,470,184.5900566,0.213104702
423,0.21956242,0.261799388,172.371241,6108.106297,35.43576214,79.05635071,153.1729029,558.2745153,car,79.05635071,423,172.371241,0.21956242
410,0.317824457,0.297404105,255.8151791,10622.54711,41.5243034,67.52320862,246.7428255,508.540356,car,67.52320862,410,255.8151791,0.317824457
500,0.227241869,0.050963614,219.2955023,9819.449614,44.77725039,76.86849976,207.2666404,602.5278406,car,76.86849976,500,219.2955023,0.227241869
438.7801572,0.21240657,0.060737458,120.9015964,4879.495576,40.35923198,80.79177856,89.94378642,525.4201494,car,80.79177856,438.7801572,120.9015964,0.21240657
366.9423791,0.280125345,0.252025544,172.7455537,7064.815909,40.89723733,75.60432434,155.3222849,471.5881954,car,75.60432434,366.9423791,172.7455537,0.280125345
485.6688055,0.230208928,0.134041287,253.8936986,8135.968359,32.04478254,64.85544586,245.4705306,541.3639751,car,64.85544586,485.6688055,253.8936986,0.230208928
390,0.358316095,0.203854457,245.6861031,10055.83687,40.929612,70.32478333,236.4901697,477.54836,car,70.32478333,390,245.6861031,0.358316095
269.4959463,0.207519648,0.038397244,80.41108548,1963.605248,24.4195839,44.74015427,66.83830932,329.0906471,car,44.74015427,269.4959463,80.41108548,0.207519648
300,0.190066356,0.166853476,97.10812951,3039.561303,31.30079138,51.35397339,82.41819203,387.0782275,car,51.35397339,300,97.10812951,0.190066356
325,0.224623875,0.286932129,229.2158634,5705.33209,24.89065113,35.60271454,227.2647937,462.7030069,car,35.60271454,325,229.2158634,0.224623875
294.4748456,0.206646983,0.46774824,194.8710353,5541.256126,28.43550411,36.76579666,191.8048905,445.5132994,car,36.76579666,294.4748456,194.8710353,0.206646983
500,0.192684349,0.194778745,144.6885779,3055.012963,21.11440314,96.56336975,107.751103,542.8970889,car,96.56336975,500,144.6885779,0.192684349
211,0.053930674,0.09424778,30.75344346,151.9845776,4.942034467,14.26837444,27.24312366,217.130704,fad,14.26837444,211,30.75344346,0.053930674
196.8567142,0.020071286,0.090757121,28.59312613,82.05888853,2.869881668,7.968783379,27.66151595,200.7493364,fad,7.968783379,196.8567142,28.59312613,0.020071286
245,0.189019158,0.081681409,62.90295509,1235.983356,19.64905073,42.15201569,46.69035543,292.3762384,fad,42.15201569,245,62.90295509,0.189019158
352.6564468,0.121998515,0.090757121,68.52784639,1066.157846,15.55802353,43.69192505,52.79281667,382.7331865,fad,43.69192505,352.6564468,68.52784639,0.121998515
243.2939757,0.03996804,0.067020643,68.54477772,383.928453,5.601133534,9.991348267,67.81665572,263.6407613,fad,9.991348267,243.2939757,68.54477772,0.03996804
259.885145,0.070685835,0.006981317,58.24380728,465.087265,7.985179658,17.50683784,56.34024079,267.517446,fad,17.50683784,259.885145,58.24380728,0.070685835
250,0.068067841,-0.015358897,57.17243116,652.9013494,11.41986332,17.77698135,55.79126957,278.3086152,fad,17.77698135,250,57.17243116,0.068067841
200,0.037699112,0.117286126,42.31667529,220.8109066,5.21805896,10.67576408,40.94788227,218.0343131,fad,10.67576408,200,42.31667529,0.037699112
355,0.064053584,0.084473936,89.55846345,1033.854245,11.54390334,27.56266212,86.57656109,372.0399566,fad,27.56266212,355,89.55846345,0.064053584
272,0.091455253,0.004886922,63.78938031,718.9463102,11.27062697,20.08555603,60.69072912,286.9202203,fad,20.08555603,272,63.78938031,0.091455253
341.6200131,0.091978852,0.07400196,85.04302856,1370.838068,16.11934677,29.02896881,79.93519681,385.1334598,fad,29.02896881,341.6200131,85.04302856,0.091978852
160.3224525,0.176976386,0.163362818,37.217124,341.8814622,9.186133303,30.88916397,20.7599104,187.5665182,fad,30.88916397,160.3224525,37.217124,0.176976386
301.3043992,0.10978121,0.035604717,64.61619993,942.7731906,14.59035337,29.04567719,57.72003044,335.7684588,fad,29.04567719,301.3043992,64.61619993,0.10978121
155,0.172787596,0.118682389,38.94016841,415.111601,10.66024155,25.83650208,29.13437618,184.8170409,fad,25.83650208,155,38.94016841,0.172787596
144,0.120602251,0.046076692,19.64766952,70.42623881,3.584457624,18.13101387,7.569493117,160.3737703,fad,18.13101387,144,19.64766952,0.120602251
178,0.170867734,0.212930169,41.54216676,489.4405205,11.78177641,35.7477951,21.16239331,215.9059342,mas,35.7477951,178,41.54216676,0.170867734
195,0.139102741,0.20525072,37.46219562,328.3840516,8.765744937,35.0238266,13.29465026,232.5876277,mas,35.0238266,195,37.46219562,0.139102741
435.0931666,0.07696902,0.161268423,123.5975376,1342.277648,10.86006788,37.38472366,117.8080379,433.2023221,mas,37.38472366,435.0931666,123.5975376,0.07696902
250,0.04712389,0.013962634,70.90704002,224.1457873,3.161121763,9.102175713,70.32040045,232.2776288,mas,9.102175713,250,70.90704002,0.04712389
339.5085476,0.045378561,0.030019663,88.62980943,331.0803904,3.735542168,19.8255806,87.62118044,307.7931937,mas,19.8255806,339.5085476,88.62980943,0.045378561
236,0.124616509,0.201760062,48.45112963,236.8801115,4.889052397,36.00662231,32.41967026,244.9651546,mas,36.00662231,236,48.45112963,0.124616509
481.4671493,0.078539816,0.016057029,79.05916156,1154.338239,14.60094208,33.92913055,71.40843919,501.8933576,mas,33.92913055,481.4671493,79.05916156,0.078539816
252,0.106116019,0.031415927,38.54420953,493.7904229,12.81101439,25.54114532,28.86703966,280.6582994,mas,25.54114532,252,38.54420953,0.106116019
172.5157973,0.127234502,0.038397244,37.54367322,192.2181479,5.119854595,19.32208061,32.18982081,174.93377,mas,19.32208061,172.5157973,37.54367322,0.127234502
121,0.174183859,0.090757121,24.43718041,144.4665132,5.911750488,22.02108002,10.59470821,141.7661849,mas,22.02108002,121,24.43718041,0.174183859
196.3648643,0.182910506,0.142418867,54.58308028,843.2625275,15.4491561,34.14941406,42.58086535,239.9440728,mas,34.14941406,196.3648643,54.58308028,0.182910506
370.3957247,0.104719755,0,115.9232531,1308.12043,11.28436612,31.3670311,112.7151016,365.9776513,mas,31.3670311,370.3957247,115.9232531,0.104719755
260.277521,0.079063415,0.03281219,58.81761141,277.2590343,4.713877828,17.86866951,56.03768402,248.6234122,mas,17.86866951,260.277521,58.81761141,0.079063415
544.6543495,0.063704518,0.002094395,100.7880802,1189.290233,11.79990958,29.41222191,96.58014998,553.3582099,mas,29.41222191,544.6543495,100.7880802,0.063704518
